golden_provider_id,cluster_size,source_records,rules_applied,conflicts_detected,created_at
GPROV0000021,1,CRM_B_P_PROV_00011_254,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:21
GPROV0000022,2,CRM_A_P_PROV_00012_750|CRM_B_P_PROV_00012_816,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,"{'first_name': ['Bhavani', 'B.']}",2026-02-05T15:23:21
GPROV0000023,2,CRM_A_P_PROV_00013_612|CRM_B_P_PROV_00013_653,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:no_non_null|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,"{'first_name': ['Vrinda', 'V.']}",2026-02-05T15:23:21
GPROV0000024,2,CRM_A_P_PROV_00014_344|CRM_B_P_PROV_00014_417,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,"{'specialty': ['Gastroenterology', 'Endocrinology']}",2026-02-05T15:23:22
GPROV0000025,2,CRM_A_P_PROV_00015_338|CRM_B_P_PROV_00015_873,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:22
GPROV0000026,3,CRM_A_P_PROV_00016_409|CRM_B_P_PROV_00016_654|CRM_B_P_PROV_00016_835,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:22
GPROV0000027,2,CRM_A_P_PROV_00017_689|CRM_B_P_PROV_00017_315,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:22
GPROV0000028,1,CRM_A_P_PROV_00018_693,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:22
GPROV0000029,1,CRM_B_P_PROV_00018_286,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:22
GPROV0000030,1,CRM_A_P_PROV_00019_235,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:22
GPROV0000031,2,CRM_A_P_PROV_00020_567|CRM_B_P_PROV_00020_703,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:22
GPROV0000032,1,CRM_A_P_PROV_00021_466,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:22
GPROV0000033,1,CRM_B_P_PROV_00021_153,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:22
GPROV0000034,2,CRM_A_P_PROV_00022_123|CRM_B_P_PROV_00022_796,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000035,1,CRM_A_P_PROV_00023_295,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000036,1,CRM_B_P_PROV_00023_832,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000037,2,CRM_A_P_PROV_00024_371|CRM_B_P_PROV_00024_692,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000038,1,CRM_A_P_PROV_00025_458,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000039,2,CRM_A_P_PROV_00026_520|CRM_B_P_PROV_00026_128,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000040,2,CRM_A_P_PROV_00027_592|CRM_B_P_PROV_00027_894,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000041,1,CRM_A_P_PROV_00028_263,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000042,1,CRM_B_P_PROV_00028_277,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000043,1,CRM_A_P_PROV_00029_691,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:no_non_null|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000044,1,CRM_B_P_PROV_00029_180,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:no_non_null|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000045,1,CRM_A_P_PROV_00030_250,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000046,1,CRM_B_P_PROV_00030_507,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:23
GPROV0000047,1,CRM_A_P_PROV_00031_515,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000048,1,CRM_B_P_PROV_00031_274,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000049,1,CRM_A_P_PROV_00032_885,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000050,1,CRM_B_P_PROV_00032_605,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000051,1,CRM_B_P_PROV_00032_334,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000052,1,CRM_A_P_PROV_00033_735,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:no_non_null|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000053,1,CRM_B_P_PROV_00033_785,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:no_non_null|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000054,2,CRM_A_P_PROV_00034_258|CRM_B_P_PROV_00034_872,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000055,2,CRM_A_P_PROV_00035_707|CRM_B_P_PROV_00035_539,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:no_non_null|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000056,2,CRM_A_P_PROV_00036_213|CRM_A_P_PROV_00036_268,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000057,2,CRM_A_P_PROV_00037_946|CRM_B_P_PROV_00037_845,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000058,1,CRM_B_P_PROV_00037_750,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:24
GPROV0000059,3,CRM_A_P_PROV_00038_376|CRM_A_P_PROV_00038_631|CRM_B_P_PROV_00038_630,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000060,3,CRM_A_P_PROV_00039_151|CRM_A_P_PROV_00039_336|CRM_B_P_PROV_00039_394,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000061,1,CRM_A_P_PROV_00040_202,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000062,1,CRM_B_P_PROV_00040_364,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000063,1,CRM_B_P_PROV_00040_322,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000064,2,CRM_A_P_PROV_00041_267|CRM_B_P_PROV_00041_906,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000065,2,CRM_A_P_PROV_00042_355|CRM_B_P_PROV_00042_836,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000066,2,CRM_A_P_PROV_00043_751|CRM_B_P_PROV_00043_774,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000067,2,CRM_A_P_PROV_00044_227|CRM_B_P_PROV_00044_736,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000068,1,CRM_A_P_PROV_00045_974,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000069,1,CRM_B_P_PROV_00045_302,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000070,1,CRM_B_P_PROV_00045_151,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
GPROV0000071,1,CRM_A_P_PROV_00046_122,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:25
